Key,Desc,English,Russian,Spanish,Chinese (Simplified),Belarusian,French,German,Italian,Japanese,Korean,,Turkish,Ukrainian
ButtonStart,,Start,Старт,Arranque,,Старт,Lancement,Start,Start,スタート,시작,,Çalıştırmak,Старт
ButtonRestart,,Restart,Рестарт,Recomienzo,,Рэстарт,Reprise,Wiederanlauf,Restart,再起動,다시 시작,,Yeniden başlatma,Рестарт
ButtonMenu,,To Menu,В Меню,En El Menú,,У меню,Au Menu,Im Menü,Nel Menu,メニューの中で,메뉴에서,,Menüde,В Меню
ButtonContinue,,Continue,Продолжить,Continuar,,Продолжить,,,,,,,,
ButtonBack,,Back,Назад,Atrás,,Назад,En arrière,Zurück,Fa,戻る,뒤로,,Geri,Назад
ButtonMap,,To Map,На Карту,En El Mapa,,На Карту,Sur La Carte,Auf Der Karte,Sulla Mappa,地図へ,지도에,,Haritaya,На Карту
ButtonSetting,,Setting,Настройки,Ajustes,,Налады,Réglages,Die Einstellungen,Regolazioni,設定,설정,,Ayarlar,Настройка
ButtonExit,,Exit,Выход,Salida,,Выход,Sortie,Ausgang,Uscita,出口,출구,,Çıkış,Вихід
ButtonLoad,,Loading,Загрузить,Cargar,,Загрузіць,Télécharger,Hochladen,Caricare,ダウンロード,다운로드,,İndir,Завантаживши
ButtonLoad_2,,Loading,Загрузки,Cargas,,,,,,,,,,
ButtonDelete,,Delete,Удалить,Eliminar,,Выдаліць,Supprimer,Entfernen,Rimuovere,削除,제거,,Kaldırmak,Видалити
ButtonCancel,,Back,Назад,Atrás,,Назад,En arrière,Zurück,Fa,戻る,,,,Назад
ButtonNewSave,,New Save,Новое сохранение,Nuevo ahorro,,Новая захаванка,Nouvelle conservation,Neue Speicherung,Nuovo salvataggio,新しい保存,새 저장,,Yeni koruma,Нове збереження
ButtonSave,,Save,Сохранить,Guardar,,Захаваць,Enregistrer,Speichern,Mantenere,保存,저장,,Kaydetmek,Зберігши
InputText,,Enter a name,Введите имя,Introduzca un nombre,,Увядзіце імя,Entrez un nom,Geben Sie einen Namen ein,Inserisci un nome,名前を入力します,이름 입력,,Adı girin,Введіть ім'я
MusicTxt,,Music,Музыка,Músico,,Музыка,Musique,Die Musik,Musica,音楽,음악,,Müzik,Музика
SoundTxt,,Sound,Звуки,Sonidos,,Гукі,Son,Geräusche,Suoni,音,소리,,Sesler,Звук
LangTxt,,Language,Язык,Idioma,,Мова,Langue,Sprache,Lingua,言語,언어,,Dil,Мова
GoMenuTitle,,EXIT TO MENU,ВЫХОД В МЕНЮ,SALIR DEL MENÚ,,,,,,,,,,
GoMenuWorn,,The progress of the game will be lost!,Прогресс игры будет потерян!,Прогресс в игре будет потерян!,,,,,,,,,,
ButtonYes,,Yes,Да,Sí,,,,,,,,,,
ButtonNo,,No,Нет,No hay,,,,,,,,,,
AskExitGame,,"Do you want to 
to close the game?","Вы хотите 
закрыть игру?","¿Quieres 
¿cerrar el juego?",,,,,,,,,,
WinAddToWishlist_toAll,,"Be sure to add the game to the Wishlist on Steam, this is very important for us!!!","Обязательно добавьте игру в Вишлист на Стиме, для нас это очень важно!!!",¡Asegúrate de agregar el juego a la lista de Deseos en Steam para nosotros es muy importante!!!,,,,,,,,,,
DemoEnds,,"And about how the fate of the hero you can learn from the full version of the game, as well as you can try other story branches that are available in this demo","А о том как сложилась судьба героя вы можете узнать из полной версии игры, так же вы можете попробовать другие сюжетные ветки, которые доступны в этом демо","Y sobre cómo se desarrolló el destino del héroe se puede aprender de la versión completa del juego, así que usted puede probar otras ramas de la historia, que están disponibles en esta demo",,,,,,,,,,
DemoEnd_bunner,,,"На этом демо кончается, следите за новостями в нашей группе в ВК",,,,,,,,,,,
DemoEnd_cardLeft,,,"На этом демо кончается, следите за новостями в нашей группе в ВК",,,,,,,,,,,
DemoEnd_cardLeft_REV,,,"На этом демо кончается, следите за новостями в нашей группе в ВК",,,,,,,,,,,
DemoEnd_cardRight,,,"На этом демо кончается, следите за новостями в нашей группе в ВК",,,,,,,,,,,
DemoEnd_cardRight_REV,,,"На этом демо кончается, следите за новостями в нашей группе в ВК",,,,,,,,,,,
s1bunner,,You hear a knock at the door,Вы слышите стук в дверь,Oyes un golpe en la puerta,,,,,,,,,,
s1cardLeft,,Open the door,Открыть дверь,Abrir la puertas,,,,,,,,,,
s1cardRight,,Look out the window,Выглянуть в окно,Mirar por la ventana,,Вылазці ў акно.,Sortez par la fenêtre.,Raus aus dem Fenster.,Esci dalla finestra.,窓から出て行け,창 밖으로 나가,,Pencereden dışarı çık.,Вилізти у вікно.
s1revL,,You reluctantly get out of bed,Вы нехотя встаете с кровати,Te levantas de la cama a regañadientes,,Вы неахвотна ўстаеце з ложка.,Vous sortez du lit à contrecœur.,Sie stehen widerwillig aus dem Bett auf.,Ti alzi a malincuore dal letto.,あなたはしぶしぶベッドから出ます。,당신은 마지 못해 침대에서 얻을.,,İsteksizce yataktan kalkıyorsunuz.,Ви знехотя встаєте з ліжка.
